2020-01-18 16:19:33,276 From C:\Anaconda\envs\tensorflow\lib\site-packages\tensorflow\python\ops\resource_variable_ops.py:435: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
2020-01-18 16:22:41,854 630.jpg
2020-01-18 16:22:42,997 635.jpg
2020-01-18 16:22:44,134 640.jpg
2020-01-18 16:22:45,278 645.jpg
2020-01-18 16:22:46,417 650.jpg
2020-01-18 16:22:47,544 655.jpg
2020-01-18 16:22:48,729 660.jpg
2020-01-18 16:22:49,913 665.jpg
2020-01-18 16:22:51,147 670.jpg
2020-01-18 16:22:52,343 675.jpg
2020-01-18 16:22:53,502 680.jpg
2020-01-18 16:22:54,650 685.jpg
2020-01-18 16:22:55,782 690.jpg
2020-01-18 16:22:56,913 695.jpg
2020-01-18 16:22:58,055 700.jpg
2020-01-18 16:22:59,200 705.jpg
2020-01-18 16:23:00,344 710.jpg
2020-01-18 16:23:01,476 715.jpg
2020-01-18 16:23:02,615 720.jpg
2020-01-18 16:23:03,750 725.jpg
2020-01-18 16:23:04,883 730.jpg
2020-01-18 16:23:06,014 735.jpg
2020-01-18 16:23:07,149 740.jpg
2020-01-18 16:23:08,282 745.jpg
2020-01-18 16:23:09,417 750.jpg
2020-01-18 16:23:10,549 755.jpg
2020-01-18 16:23:11,681 760.jpg
2020-01-18 16:23:12,822 765.jpg
2020-01-18 16:23:13,954 770.jpg
2020-01-18 16:23:15,089 775.jpg
2020-01-18 16:23:16,230 780.jpg
2020-01-18 16:23:17,399 785.jpg
2020-01-18 16:23:18,550 790.jpg
2020-01-18 16:23:19,683 795.jpg
2020-01-18 16:23:20,817 800.jpg
2020-01-18 16:23:21,952 805.jpg
2020-01-18 16:23:23,088 810.jpg
2020-01-18 16:23:24,226 815.jpg
2020-01-18 16:23:25,365 820.jpg
2020-01-18 16:23:26,506 825.jpg
2020-01-18 16:23:27,688 830.jpg
2020-01-18 16:23:28,867 835.jpg
2020-01-18 16:23:30,037 840.jpg
2020-01-18 16:23:31,226 845.jpg
2020-01-18 16:23:32,373 850.jpg
2020-01-18 16:23:33,506 855.jpg
2020-01-18 16:23:34,629 860.jpg
2020-01-18 16:23:35,773 865.jpg
2020-01-18 16:23:36,956 870.jpg
2020-01-18 16:23:38,108 875.jpg
2020-01-18 16:23:41,059 880.jpg
2020-01-18 16:23:44,146 885.jpg
2020-01-18 16:23:48,397 890.jpg
2020-01-18 16:23:51,440 895.jpg
2020-01-18 16:23:54,489 900.jpg
2020-01-18 16:23:57,541 905.jpg
2020-01-18 16:24:00,600 910.jpg
2020-01-18 16:24:03,666 915.jpg
2020-01-18 16:24:06,716 920.jpg
2020-01-18 16:24:09,730 925.jpg
2020-01-18 16:24:12,695 930.jpg
2020-01-18 16:24:15,656 935.jpg
2020-01-18 16:24:18,702 940.jpg
2020-01-18 16:24:21,707 945.jpg
2020-01-18 16:24:24,780 950.jpg
2020-01-18 16:24:27,777 955.jpg
2020-01-18 16:24:30,863 960.jpg
2020-01-18 16:24:33,832 965.jpg
2020-01-18 16:24:36,792 970.jpg
2020-01-18 16:24:39,765 975.jpg
2020-01-18 16:24:42,746 980.jpg
2020-01-18 16:24:45,715 985.jpg
2020-01-18 16:24:48,683 990.jpg
2020-01-18 16:24:51,650 995.jpg
2020-01-18 16:24:54,609 1000.jpg
2020-01-18 16:24:57,559 1005.jpg
2020-01-18 16:25:00,514 1010.jpg
2020-01-18 16:25:04,021 1015.jpg
2020-01-18 16:25:06,835 1020.jpg
2020-01-18 16:25:08,217 1025.jpg
2020-01-18 17:44:18,674 1030.jpg
2020-01-18 17:44:20,865 1035.jpg
2020-01-18 17:44:22,832 1040.jpg
2020-01-18 17:44:24,577 1045.jpg
2020-01-18 17:44:26,366 1050.jpg
2020-01-18 17:44:28,260 1055.jpg
2020-01-18 17:44:30,069 1060.jpg
2020-01-18 17:44:31,680 1065.jpg
2020-01-18 17:44:33,128 1070.jpg
2020-01-18 17:44:34,461 1075.jpg
2020-01-19 10:37:58,295 1080.jpg
2020-01-19 10:38:03,156 1085.jpg
2020-01-19 10:38:04,894 1090.jpg
2020-01-19 10:38:06,657 1095.jpg
2020-01-19 10:38:08,518 1100.jpg
2020-01-19 10:38:09,926 1105.jpg
2020-01-19 10:38:11,167 1110.jpg
2020-01-19 10:38:12,399 1115.jpg
2020-01-19 10:38:13,647 1120.jpg
2020-01-19 10:38:14,988 1125.jpg
2020-01-19 10:38:16,257 1130.jpg
